conml,gvkey,Rating,state,year,PerCapitaIncome,GDP_per_capita,debt_at,debt_assets,debt_ebitda,cash_debt,ratio_year
Avery Dennison Corp,1913,BBB,California,2014,52363,0.062157147975235,0.242,0.687,1.742,0.103,2014
Baker Hughes Inc,1976,A,Texas,2014,46310,0.0581535170923753,0.158,0.357,1.015,0.315,2014
Ball Corp,1988,BB+,Colorado,2014,50711,0.0571374073124975,0.46,0.822,2.887,0.131,2014
Bank of New York Mellon Corp (The),2019,A+,New York,2014,56758,0.0725520607067847,0.083,0.898,3.989,-0.002,2014
Bard (C.R.) Inc,2044,A,New Jersey,2014,58670,0.0615335057433986,0.288,0.62,1.566,0.38,2014
Baxter International Inc,2086,A-,Illinois,2014,49461,0.05946068657882,0.352,0.665,5.299,0.184,2014
Verizon Communications Inc,2136,BBB+,New York,2014,56758,0.0725520607067847,0.447,0.849,2.094,0.217,2014
Bemis Co Inc,2154,BBB,Wisconsin,2014,44943,0.0510884852278309,0.355,0.595,2.515,0.154,2014
Berkshire Hathaway Inc,2176,AA,Nebraska,2014,48953,0.0592697043240617,0.147,0.534,1.848,0.106,2014
Bio-Rad Laboratories Inc,2220,BBB,California,2014,52363,0.062157147975235,0.128,0.354,1.322,0.146,2014
Black Hills Corp,2259,BBB,South Dakota,2014,46957,0.0546087814690112,0.382,0.664,3.729,0.126,2014
Boeing Co,2285,A,Illinois,2014,49461,0.05946068657882,0.098,0.842,0.967,0.105,2014
Bristol-Myers Squibb Co,2403,A+,New York,2014,56758,0.0725520607067847,0.226,0.559,1.819,0.152,2014
Brunswick Corp,2444,BB+,Illinois,2014,49461,0.05946068657882,0.153,0.616,1.175,0.091,2014
MasTec Inc.,2497,BB,Florida,2014,43140,0.0423455693215595,0.315,0.666,2.422,0.106,2014
Unisys Corp,2504,BB-,Pennsylvania,2014,48434,0.0540472539262997,0.089,1.26,0.632,0.059,2014
Cigna Corp,2547,A,Connecticut,2014,66490,0.0692105269014757,0.094,0.803,1.292,0.016,2014
CNA Financial Corp,2558,BBB,Illinois,2014,49461,0.05946068657882,0.052,0.777,2.776,0.027,2014
CSX Corp,2574,BBB+,Florida,2014,43140,0.0423455693215595,0.295,0.663,2.026,0.154,2014
Carlisle Cos Inc,2771,BBB,Arizona,2014,38246,0.0423230194046042,0.208,0.427,1.478,0.275,2014
Castle (A M) & Co,2811,B-,Illinois,2014,49461,0.05946068657882,0.392,0.607,-32.45,0.201,2014
Caterpillar Inc,2817,A,Illinois,2014,49461,0.05946068657882,0.455,0.763,3.496,0.159,2014
Cleco Corp,2859,BBB+,Louisiana,2014,42686,0.051187862738541,0.317,0.623,3.05,0.13,2014
Lumen Technologies Inc,2884,BB,Louisiana,2014,42686,0.051187862738541,0.411,0.672,2.924,0.161,2014
Magellan Health Inc,2940,BBB-,Arizona,2014,38246,0.0423230194046042,0.047,0.377,0.399,0.309,2014
JPMorgan Chase & Co,2968,A,New York,2014,56758,0.0725520607067847,0.228,0.911,9.687,0.049,2014
Chevron Corp,2991,AA,California,2014,52363,0.062157147975235,0.089,0.409,0.582,0.339,2014
Chubb Corp,3024,A+,New Jersey,2014,58670,0.0615335057433986,0.064,0.681,1.123,0.05,2014
Church & Dwight Co. Inc.,3026,BBB+,New Jersey,2014,58670,0.0615335057433986,0.215,0.489,1.238,0.255,2014
Churchill Downs Inc,3028,BB,Kentucky,2014,37585,0.0422302359872316,0.278,0.475,2.274,0.224,2014
Cincinnati Bell Inc,3036,B,Ohio,2014,42755,0.0510981237125841,1.037,1.298,6.664,0.028,2014
City National Corp,3082,BBB+,California,2014,52363,0.062157147975235,0.024,0.906,1.154,0.016,2014
Cleveland-Cliffs Inc,3107,BB-,Ohio,2014,42755,0.0510981237125841,0.311,0.539,5.522,0.184,2014
Coca Cola Consolidated Inc,3138,BBB,North Carolina,2014,40069,0.0479478121516937,0.37,0.797,3.429,0.095,2014
Coca-Cola Co (The),3144,AA,Georgia,2014,39802,0.0482039435088611,0.422,0.64,3.006,0.186,2014
Coeur Mining Inc,3153,B,Illinois,2014,49461,0.05946068657882,0.147,0.426,-0.666,0.098,2014
Colgate-Palmolive Co,3170,AA-,New York,2014,56758,0.0725520607067847,0.436,0.853,1.31,0.283,2014
Comcast Corp,3226,A-,Pennsylvania,2014,48434,0.0540472539262997,0.3,0.664,2.082,0.133,2014
Comerica Inc,3231,A-,Texas,2014,46310,0.0581535170923753,0.05,0.89,2.568,0.014,2014
Commerce Bancshares Inc,3238,A-,Missouri,2014,41775,0.046933242979676,0.057,0.901,2.227,0.017,2014
Citigroup Inc,3243,A-,New York,2014,56758,0.0725520607067847,0.276,0.889,15.602,0.034,2014
Avis Budget Group Inc,3278,BB-,New Jersey,2014,58670,0.0615335057433986,0.688,0.96,4.215,0.145,2014
Connecticut Water Service Inc,3394,A,Connecticut,2014,66490,0.0692105269014757,0.279,0.681,4.293,0.103,2014
Consolidated Edison Inc.,3413,A-,New York,2014,56758,0.0725520607067847,0.309,0.693,3.638,0.09,2014
Con-Way Inc,3416,BBB-,Michigan,2014,41150,0.0451741154547381,0.228,0.642,1.513,0.163,2014
CMS Energy Corp,3439,BBB+,Michigan,2014,41150,0.0451741154547381,0.466,0.797,4.568,0.102,2014
Continental Resources Inc,3469,BBB-,Oklahoma,2014,45542,0.0499064124550982,0.404,0.679,1.642,0.321,2014
Cooper Tire & Rubber Co,3502,BB-,Ohio,2014,42755,0.0510981237125841,0.142,0.587,0.862,0.172,2014
Molson Coors Beverage Company,3505,BBB+,Colorado,2014,50711,0.0571374073124975,0.239,0.437,4.516,0.169,2014
Corning Inc,3532,A-,New York,2014,56758,0.0725520607067847,0.122,0.264,1.257,0.384,2014
Crane Co.,3580,BBB,Connecticut,2014,66490,0.0692105269014757,0.247,0.645,1.88,0.102,2014
OneMain Holdings Inc,3592,B,Indiana,2014,41098,0.0492911506899675,0.802,0.904,13.239,0.016,2014
Chemtura Corp,3607,BB-,Pennsylvania,2014,48434,0.0540472539262997,0.324,0.636,3.337,0.046,2014
Crown Holdings Inc,3619,BB,Pennsylvania,2014,48434,0.0540472539262997,0.53,0.958,4.16,0.114,2014
Cullen/Frost Bankers Inc,3643,A,Texas,2014,46310,0.0581535170923753,0.032,0.896,1.641,0.008,2014
Cummins Inc.,3650,A+,Indiana,2014,41098,0.0492911506899675,0.112,0.474,0.706,0.305,2014
Wendy's Co,3708,B+,Ohio,2014,42755,0.0510981237125841,0.346,0.577,4.163,0.136,2014
Dana Inc,3734,BB+,Ohio,2014,42755,0.0510981237125841,0.314,0.729,2.296,0.155,2014
Danaher Corp,3735,A+,District of Columbia,2014,71354,0.180760589919194,0.093,0.339,0.875,0.293,2014
Delta Air Lines Inc,3851,BB,Georgia,2014,39802,0.0482039435088611,0.205,0.771,1.701,0.111,2014
Deluxe Corp,3863,BB,Minnesota,2014,50258,0.0591974909921504,0.4,0.644,1.563,0.257,2014
DTE Energy Co,3897,BBB+,Michigan,2014,41150,0.0451741154547381,0.325,0.691,3.502,0.12,2014
Dominion Energy Inc,4029,A-,Virginia,2014,50761,0.0558915643413489,0.467,0.769,5.278,0.09,2014
R.R. Donnelley & Sons Co,4040,BB-,Illinois,2014,49461,0.05946068657882,0.513,0.887,3.176,0.106,2014
Dover Corp,4058,A,Illinois,2014,49461,0.05946068657882,0.292,0.545,1.784,0.211,2014
DuPont  De Nemours Inc,4060,BBB,Delaware,2014,45993,0.0724404737009739,0.265,0.6,2.346,0.189,2014
Omnicom Group Inc.,4066,BBB+,New York,2014,56758,0.0725520607067847,0.19,0.804,1.797,0.101,2014
E. I. du Pont de Nemours and Co,4087,A,Delaware,2014,45993,0.0724404737009739,0.249,0.663,2.203,0.09,2014
Ducommun Inc,4091,B+,California,2014,52363,0.062157147975235,0.424,0.672,4.021,0.088,2014
Duke Energy Corp,4093,BBB+,North Carolina,2014,40069,0.0479478121516937,0.36,0.645,4.702,0.087,2014
Dun & Bradstreet Corp (The),4094,BBB-,New Jersey,2014,58670,0.0615335057433986,0.858,1.587,3.057,0.114,2014
Flowserve Corp.,4108,BBB-,Texas,2014,46310,0.0581535170923753,0.244,0.61,1.395,0.154,2014
PerkinElmer Inc.,4145,BBB,Massachusetts,2014,59963,0.0699512435756919,0.23,0.483,2.137,0.081,2014
Eastman Kodak Co,4194,B-,New York,2014,56758,0.0725520607067847,0.229,0.802,2.857,-0.26,2014
Ecolab Inc.,4213,BBB+,Minnesota,2014,50258,0.0591974909921504,0.357,0.619,2.466,0.128,2014
El Paso Electric Co,4241,BBB,Texas,2014,46310,0.0581535170923753,0.371,0.66,4.596,0.134,2014
Empire District Electric Co.,4331,BBB,Missouri,2014,41775,0.046933242979676,0.353,0.651,3.546,0.113,2014
Energen Corp.,4351,BB,Alabama,2014,37271,0.0402820728411072,0.241,0.541,1.83,0.246,2014
Equifax Inc.,4423,BBB+,Georgia,2014,39802,0.0482039435088611,0.33,0.491,1.836,0.258,2014
EQT Corp,4430,BBB,Pennsylvania,2014,48434,0.0540472539262997,0.253,0.489,1.708,0.244,2014
NewMarket Corp,4462,BBB,Virginia,2014,50761,0.0558915643413489,0.279,0.591,0.893,0.368,2014
Exxon Mobil Corp,4503,AAA,Texas,2014,46310,0.0581535170923753,0.062,0.476,0.395,0.27,2014
FMC Corp.,4510,A-,Pennsylvania,2014,48434,0.0540472539262997,0.343,0.671,2.402,0.09,2014
NextEra Energy Inc,4517,A-,Florida,2014,43140,0.0423455693215595,0.414,0.74,4.891,0.1,2014
Federal-Mogul Holdings Corp,4600,B,Michigan,2014,41150,0.0451741154547381,0.361,0.781,4.413,0.075,2014
Ferro Corp.,4622,B+,Ohio,2014,42755,0.0510981237125841,0.32,0.71,1.619,0.025,2014
Fifth Third Bancorp,4640,BBB+,Ohio,2014,42755,0.0510981237125841,0.114,0.885,4.286,0.04,2014
Regions Financial Corp,4674,BBB,Alabama,2014,37271,0.0402820728411072,0.052,0.86,2.327,0.037,2014
FirstMerit Corp,4678,BBB+,Ohio,2014,42755,0.0510981237125841,0.075,0.887,3.364,0.008,2014
Trustmark Corp,4685,BBB+,Mississippi,2014,34547,0.0346165884403378,0.055,0.885,2.285,0.015,2014
M&T Bank Corp,4699,A-,New York,2014,56758,0.0725520607067847,0.079,0.868,2.721,0.013,2014
U.S. Bancorp,4723,A+,Minnesota,2014,50258,0.0591974909921504,0.144,0.887,4.574,0.036,2014
First Horizon Corp,4737,BB+,Tennessee,2014,40799,0.0464422020163508,0.15,0.893,5.797,0.02,2014
Flowers Foods Inc.,4809,BBB-,Georgia,2014,39802,0.0482039435088611,0.349,0.545,2.057,0.189,2014
Fluor Corp,4818,A-,Texas,2014,46310,0.0581535170923753,0.064,0.536,0.401,0.178,2014
Ford Motor Co,4839,BBB-,Michigan,2014,41150,0.0451741154547381,0.567,0.87,8.72,0.06,2014
Forest City Realty Trust Inc,4842,BB-,Ohio,2014,42755,0.0510981237125841,0.657,0.794,56.508,0.049,2014
GATX Corp.,4941,BBB,Illinois,2014,49461,0.05946068657882,0.608,0.798,7.284,0.078,2014
TEGNA Inc,4988,BB+,Virginia,2014,50761,0.0558915643413489,0.395,0.674,3.553,0.081,2014
General Dynamics Corp,5046,A,Virginia,2014,50761,0.0558915643413489,0.112,0.611,0.913,0.148,2014
General Electric Co,5047,AA+,Massachusetts,2014,59963,0.0699512435756919,0.581,0.786,23.931,0.055,2014
Ally Financial Inc,5072,BB+,Michigan,2014,41150,0.0451741154547381,0.498,0.902,13.241,0.018,2014
General Motors Co,5073,BBB-,Michigan,2014,41150,0.0451741154547381,0.223,0.753,3.86,0.103,2014
SPX Corp,5087,BB+,North Carolina,2014,40069,0.0479478121516937,0.211,0.662,3.466,0.022,2014
Glatfelter Corp,5179,BB+,North Carolina,2014,40069,0.0479478121516937,0.258,0.579,2.471,0.175,2014
Goodyear Tire & Rubber Co,5234,BB-,Ohio,2014,42755,0.0510981237125841,0.396,0.85,2.935,0.062,2014
Grace (W R) & Co,5250,BBB-,Maryland,2014,54696,0.0592969479542939,0.244,0.872,1.438,0.107,2014
Grainger (W.W.) Inc,5256,AA+,Illinois,2014,49461,0.05946068657882,0.101,0.358,0.336,0.509,2014
Gray Television Inc.,5284,B+,Georgia,2014,39802,0.0482039435088611,0.663,0.886,7.513,0.052,2014
MoneyGram International Inc,5342,BB-,Texas,2014,46310,0.0581535170923753,0.191,1.022,4.067,0.126,2014
GulfMark Offshore Inc,5379,BB-,Texas,2014,46310,0.0581535170923753,0.292,0.405,2.809,0.178,2014
Halliburton Co,5439,A,Texas,2014,46310,0.0581535170923753,0.259,0.523,1.147,0.285,2014
Harsco Corp,5496,BB+,Pennsylvania,2014,48434,0.0540472539262997,0.349,0.753,2.417,0.103,2014
Hasbro Inc.,5518,BBB,Rhode Island,2014,48169,0.0514213929632099,0.351,0.625,1.877,0.15,2014
Hawaiian Electric Industries Inc.,5526,BBB-,Hawaii,2014,47257,0.0550139338780577,0.188,0.822,3.652,0.04,2014
Hecla Mining Co,5560,B,Idaho,2014,37905,0.0391140522539225,0.229,0.4,3.853,0.029,2014
Hershey Co (The),5597,A,Pennsylvania,2014,48434,0.0540472539262997,0.383,0.703,1.31,0.318,2014
Hertz Global Holdings Inc,5600,B+,Florida,2014,43140,0.0423455693215595,0.648,0.894,3.937,0.165,2014
Hexcel Corp,5608,BBB-,Connecticut,2014,66490,0.0692105269014757,0.194,0.397,0.998,0.404,2014
Hilton Worldwide Holdings Inc,5643,BB-,Virginia,2014,50761,0.0558915643413489,0.469,0.828,6.443,0.094,2014
HollyFrontier Corp,5667,BBB-,Texas,2014,46310,0.0581535170923753,0.099,0.355,0.629,0.252,2014
Pinnacle Entertainment Inc.,5671,BB-,Nevada,2014,41505,0.0477417175013877,0.838,0.95,7.617,0.033,2014
Starwood Hotels & Resorts Worldwide Inc.,5723,BBB,Connecticut,2014,66490,0.0692105269014757,0.213,0.655,1.613,0.213,2014
CenterPoint Energy Inc.,5742,A-,Texas,2014,46310,0.0581535170923753,0.386,0.8,4.426,0.092,2014
Hubbell Inc,5764,A,Connecticut,2014,66490,0.0692105269014757,0.182,0.399,1.006,0.3,2014
J.B. Hunt Transport Services Inc.,5783,BBB+,Arkansas,2014,38264,0.0391427219592154,0.268,0.645,0.933,0.318,2014
Huntington Bancshares Inc,5786,BBB,Ohio,2014,42755,0.0510981237125841,0.096,0.9,4.235,0.019,2014
ITT Inc,5860,BBB-,New York,2014,56758,0.0725520607067847,0.009,0.667,0.083,0.083,2014
Rayonier Inc.,5862,BBB-,Florida,2014,43140,0.0423455693215595,0.369,0.45,5.326,0.282,2014
IDACORP Inc.,5870,BBB,Idaho,2014,37905,0.0391140522539225,0.307,0.65,4.19,0.087,2014
Illinois Tool Works Inc.,5878,A+,Illinois,2014,49461,0.05946068657882,0.363,0.563,2.142,0.246,2014
Vectren Corp,5918,A-,Indiana,2014,41098,0.0492911506899675,0.359,0.687,2.867,0.165,2014
Ryerson Holding Corp,5968,B-,Illinois,2014,49461,0.05946068657882,0.636,1.047,7.501,0.023,2014
Intel Corp,6008,A+,California,2014,52363,0.062157147975235,0.145,0.366,0.574,0.609,2014
Interface Inc,6034,BB+,Georgia,2014,39802,0.0482039435088611,0.34,0.575,2.581,0.141,2014
International Business Machines Corp,6066,AA-,New York,2014,56758,0.0725520607067847,0.357,0.855,1.801,0.169,2014
International Flavors & Fragrances Inc,6078,BBB+,New York,2014,56758,0.0725520607067847,0.277,0.539,1.413,0.219,2014
International Paper Co,6104,BBB,Tennessee,2014,40799,0.0464422020163508,0.315,0.747,2.454,0.131,2014
Interpublic Group of Cos Inc (The),6136,BB+,New York,2014,56758,0.0725520607067847,0.14,0.8,1.895,0.057,2014
Anixter International Inc,6196,BB,Illinois,2014,49461,0.05946068657882,0.3,0.648,2.59,0.182,2014
EMCOR Group Inc.,6223,BBB-,Connecticut,2014,66490,0.0692105269014757,0.101,0.557,0.985,0.076,2014
Johnson & Johnson,6266,AAA,New Jersey,2014,58670,0.0615335057433986,0.127,0.428,0.666,0.297,2014
Kinder Morgan Inc.,6310,BBB-,Texas,2014,46310,0.0581535170923753,0.487,0.625,5.583,0.087,2014
Kaman Corp,6326,BB+,Connecticut,2014,66490,0.0692105269014757,0.266,0.554,2.256,0.1,2014
Great Plains Energy Inc,6334,BBB+,Missouri,2014,41775,0.046933242979676,0.392,0.644,4.698,0.124,2014
Kansas City Southern,6335,BBB-,Missouri,2014,41775,0.046933242979676,0.285,0.497,1.999,0.212,2014
Evergy Inc,6338,BBB+,Missouri,2014,41775,0.046933242979676,0.372,0.679,3.992,0.108,2014
Kellogg Co,6375,BBB+,Michigan,2014,41150,0.0451741154547381,0.481,0.77,2.015,0.152,2014
Kimberly-Clark Corp,6435,A,Texas,2014,46310,0.0581535170923753,0.329,0.74,1.813,0.222,2014
Kirby Corp,6461,A-,Texas,2014,46310,0.0581535170923753,0.18,0.442,1.083,0.362,2014
LSB Industries Inc,6528,B+,Oklahoma,2014,45542,0.0499064124550982,0.428,0.611,8.568,0.08,2014
Leggett & Platt Inc,6649,BBB+,Missouri,2014,41775,0.046933242979676,0.312,0.588,2.297,0.244,2014
Jefferies Financial Group Inc,6682,BBB-,New York,2014,56758,0.0725520607067847,0.553,0.79,17.344,0.019,2014
Eli Lilly and Co,6730,AA-,Indiana,2014,41098,0.0492911506899675,0.153,0.487,1.081,0.326,2014
Kate Spade & Co,6768,B,New York,2014,56758,0.0725520607067847,0.43,0.951,3.753,-0.024,2014
Lockheed Martin Corp,6774,A-,Maryland,2014,54696,0.0592969479542939,0.167,0.874,1.009,0.145,2014
Loews Corp,6781,A+,New York,2014,56758,0.0725520607067847,0.136,0.689,3.232,0.038,2014
Range Resources Corp.,6788,BB+,Texas,2014,46310,0.0581535170923753,0.399,0.639,2.838,0.152,2014
Louisiana-Pacific Corp,6821,BB,Tennessee,2014,40799,0.0464422020163508,0.311,0.507,12.003,0.191,2014
M.D.C. Holdings Inc.,6865,BB+,Colorado,2014,50711,0.0571374073124975,0.442,0.528,11.388,-0.195,2014
MDU Resources Group Inc.,6867,BBB+,North Dakota,2014,56314,0.0795766482551556,0.28,0.598,3.262,0.176,2014
Manitowoc Co Inc (The),6994,BB-,Wisconsin,2014,44943,0.0510884852278309,0.424,0.799,3.969,0.101,2014
Marathon Oil Corp,7017,BBB,Texas,2014,46310,0.0581535170923753,0.179,0.451,1.412,0.324,2014
Marsh & McLennan Companies Inc,7065,A-,New York,2014,56758,0.0725520607067847,0.196,0.535,1.262,0.149,2014
Masco Corp,7085,BBB,Michigan,2014,41150,0.0451741154547381,0.482,0.865,3.778,0.105,2014
Mattel Inc.,7116,BBB+,California,2014,52363,0.062157147975235,0.291,0.518,1.622,0.219,2014
McDonald's Corp,7154,A,Illinois,2014,49461,0.05946068657882,0.399,0.578,1.478,0.345,2014
CVS Health Corp,7241,BBB+,Rhode Island,2014,48169,0.0514213929632099,0.183,0.475,1.254,0.172,2014
Merck & Co Inc,7257,AA,New Jersey,2014,58670,0.0615335057433986,0.252,0.52,1.672,0.219,2014
Entergy Corp.,7366,BBB,Louisiana,2014,42686,0.051187862738541,0.312,0.767,3.818,0.095,2014
Middlesex Water Co,7368,A-,New Jersey,2014,58670,0.0615335057433986,0.306,0.637,3.704,0.1,2014
EXCO Resources Inc,7422,B,Texas,2014,46310,0.0581535170923753,0.676,0.856,4.753,0.155,2014
3M Co,7435,AA-,Minnesota,2014,50258,0.0591974909921504,0.201,0.478,0.796,0.373,2014
ALLETE Inc.,7437,BBB+,Minnesota,2014,50258,0.0591974909921504,0.331,0.625,4.004,0.112,2014
Molycorp Inc,7509,CCC+,Colorado,2014,50711,0.0571374073124975,0.492,0.572,-10.97,-0.095,2014
Motorola Solutions Inc,7585,BBB,Illinois,2014,49461,0.05946068657882,0.227,0.688,2.577,0.116,2014
Murphy Oil Corp,7620,BBB,Texas,2014,46310,0.0581535170923753,0.201,0.524,1.11,0.408,2014
Viatris Inc,7637,BBB-,Pennsylvania,2014,48434,0.0540472539262997,0.527,0.79,4.057,0.09,2014
Bank of America Corp,7647,A-,North Carolina,2014,40069,0.0479478121516937,0.237,0.89,11.497,0.05,2014
NCR Corp,7648,BB+,Georgia,2014,39802,0.0482039435088611,0.435,0.78,3.554,0.036,2014
Tenet Healthcare Corp,7750,B,Texas,2014,46310,0.0581535170923753,0.676,0.93,6.489,0.039,2014
New York Times Co (The),7866,B+,New York,2014,56758,0.0725520607067847,0.273,0.659,3.104,0.02,2014
Newell Brands Inc,7875,BBB-,Georgia,2014,39802,0.0482039435088611,0.328,0.664,2.191,0.152,2014
Newmont Corporation,7881,BBB,Colorado,2014,50711,0.0571374073124975,0.272,0.477,-44.214,0.132,2014
Newpark Resources Inc.,7882,B+,Texas,2014,46310,0.0581535170923753,0.191,0.389,1.242,0.392,2014
Noble Energy Inc,7912,BBB,Texas,2014,46310,0.0581535170923753,0.256,0.534,1.776,0.281,2014
Norfolk Southern Corp,7923,BBB+,Virginia,2014,50761,0.0558915643413489,0.285,0.639,2.079,0.145,2014
Eversource Energy,7970,A-,Massachusetts,2014,59963,0.0699512435756919,0.338,0.645,4.354,0.092,2014
NiSource Inc,7974,BBB-,Indiana,2014,41098,0.0492911506899675,0.397,0.742,6.551,0.086,2014
Xcel Energy Inc.,7977,A-,Minnesota,2014,50258,0.0591974909921504,0.356,0.715,4.247,0.106,2014
Northern Trust Corp,7982,A+,Illinois,2014,49461,0.05946068657882,0.062,0.923,2.729,0.009,2014
Northrop Grumman Corp,7985,BBB+,Virginia,2014,50761,0.0558915643413489,0.232,0.596,1.614,0.158,2014
Terex Corp,7991,BB,Connecticut,2014,66490,0.0692105269014757,0.298,0.653,3.158,0.044,2014
Northwest Natural Holding Co,7993,A+,Oregon,2014,42493,0.0476320660549792,0.293,0.733,3.789,0.079,2014
NorthWestern Corp,8001,BBB,South Dakota,2014,46957,0.0546087814690112,0.353,0.719,4.5,0.072,2014
Wells Fargo & Co,8007,A+,California,2014,52363,0.062157147975235,0.142,0.887,4.679,0.043,2014
Nucor Corp,8030,A,North Carolina,2014,40069,0.0479478121516937,0.29,0.481,2.252,0.148,2014
Occidental Petroleum Corp,8068,A,Texas,2014,46310,0.0581535170923753,0.104,0.377,0.638,0.496,2014
Oceaneering International Inc.,8079,BBB,Texas,2014,46310,0.0581535170923753,0.032,0.365,0.126,0.487,2014
FirstEnergy Corp.,8099,BBB-,Ohio,2014,42755,0.0510981237125841,0.417,0.752,5.861,0.071,2014
OGE Energy Corp.,8113,A-,Oklahoma,2014,45542,0.0499064124550982,0.318,0.666,3.705,0.102,2014
Olin Corp,8123,BB+,Missouri,2014,41775,0.046933242979676,0.248,0.599,1.926,0.187,2014
Omnicare Inc.,8133,BB,Ohio,2014,42755,0.0510981237125841,0.294,0.543,2.813,0.129,2014
ONEOK Inc,8151,BB+,Oklahoma,2014,45542,0.0499064124550982,0.501,0.741,5.581,0.101,2014
Otter Tail Corp,8199,BBB,Minnesota,2014,50258,0.0591974909921504,0.303,0.669,3.116,0.139,2014
Overseas Shipholding Group Inc.,8210,B,Florida,2014,43140,0.0423455693215595,0.116,0.937,1.82,0.039,2014
Owens & Minor Inc.,8213,BBB,Virginia,2014,50761,0.0558915643413489,0.196,0.59,2.027,0.108,2014
Owens Corning,8214,BBB-,Ohio,2014,42755,0.0510981237125841,0.286,0.5,3.037,0.11,2014
O-I Glass Inc,8215,BB+,Ohio,2014,42755,0.0510981237125841,0.428,0.789,3.086,0.1,2014
PHH Corp,8240,B+,New Jersey,2014,58670,0.0615335057433986,0.471,0.789,18.534,0.378,2014
The PNC Financial Services Group Inc,8245,A-,Pennsylvania,2014,48434,0.0540472539262997,0.149,0.861,5.477,0.02,2014
PPG Industries Inc.,8247,A-,Pennsylvania,2014,48434,0.0540472539262997,0.201,0.647,1.472,0.168,2014
PACCAR Inc,8253,A+,Washington,2014,51502,0.062785494117005,0.405,0.666,2.858,0.169,2014
PG&E Corp,8264,BBB,California,2014,52363,0.062157147975235,0.265,0.731,2.996,0.084,2014
Sempra Energy,8272,BBB+,California,2014,52363,0.062157147975235,0.352,0.685,4.551,0.07,2014
Parker Drilling Co,8357,B+,Texas,2014,46310,0.0581535170923753,0.415,0.579,2.375,0.179,2014
Goodrich Petroleum Corp.,8387,B-,Texas,2014,46310,0.0581535170923753,0.538,0.697,15.443,0.116,2014
American Financial Group Inc,8431,BBB+,Ohio,2014,42755,0.0510981237125841,0.031,0.887,1.561,0.02,2014
Penn Virginia Corp,8440,B+,Texas,2014,46310,0.0581535170923753,0.459,0.641,3.087,0.152,2014
PPL Corp,8455,BBB,Pennsylvania,2014,48434,0.0540472539262997,0.461,0.723,5.41,0.085,2014
PepsiCo Inc,8479,A,New York,2014,56758,0.0725520607067847,0.403,0.702,2.453,0.182,2014
Tutor Perini Corp,8486,BB-,California,2014,52363,0.062157147975235,0.231,0.642,2.709,0.024,2014
PDC Energy Inc,8512,B,Colorado,2014,50711,0.0571374073124975,0.319,0.536,1.946,0.15,2014
PHI Inc,8515,BB-,Louisiana,2014,42686,0.051187862738541,0.381,0.56,2.925,0.171,2014
Pfizer Inc,8530,AA,New York,2014,56758,0.0725520607067847,0.216,0.549,1.755,0.186,2014
Exelon Corp,8539,BBB,Illinois,2014,49461,0.05946068657882,0.258,0.711,3.744,0.111,2014
Altria Group Inc,8543,BBB+,Virginia,2014,50761,0.0558915643413489,0.41,0.876,1.83,0.142,2014
Conocophillips,8549,A,Texas,2014,46310,0.0581535170923753,0.178,0.546,1.121,0.245,2014
Pitney Bowes Inc.,8606,BBB,Connecticut,2014,66490,0.0692105269014757,0.498,0.92,4.005,0.099,2014
Pepco Holdings Inc.,8694,BBB+,District of Columbia,2014,71354,0.180760589919194,0.373,0.709,4.451,0.047,2014
PNM Resources Inc.,8807,BBB,New Mexico,2014,37207,0.044308823642016,0.349,0.681,4.327,0.103,2014
Public Service Enterprise Group Inc,8810,BBB+,New Jersey,2014,58670,0.0615335057433986,0.264,0.646,2.6,0.151,2014
PulteGroup Inc,8823,BB+,Georgia,2014,39802,0.0482039435088611,0.228,0.454,2.497,0.216,2014
Questar Corp,8873,A,Utah,2014,38524,0.0481899322375896,0.374,0.688,2.371,0.176,2014
Raytheon Co.,8972,A,Massachusetts,2014,59963,0.0699512435756919,0.18,0.557,1.353,0.161,2014
AutoNation Inc,9063,BBB-,Florida,2014,43140,0.0423455693215595,0.606,0.736,5.402,0.083,2014
Ryder System Inc,9299,BBB,Florida,2014,43140,0.0423455693215595,0.473,0.795,3.059,0.169,2014
Ryland Group Inc,9302,BB-,California,2014,52363,0.062157147975235,0.517,0.655,5.58,-0.144,2014
St. Jude Medical Inc.,9372,A,Minnesota,2014,50258,0.0591974909921504,0.378,0.592,2.218,0.164,2014
SCANA Corp,9445,BBB+,South Carolina,2014,37624,0.0398003199673606,0.39,0.689,4.558,0.1,2014
Sealed Air Corp,9555,BB,North Carolina,2014,40069,0.0479478121516937,0.537,0.838,4.465,0.082,2014
Service Corp International,9611,BB+,Texas,2014,46310,0.0581535170923753,0.25,0.889,4.769,0.034,2014
Sherwin-Williams Co (The),9667,A,Ohio,2014,42755,0.0510981237125841,0.27,0.75,1.159,0.235,2014
Sigma-Aldrich Corp,9699,A+,Missouri,2014,41775,0.046933242979676,0.086,0.231,0.397,0.704,2014
Snap-On Inc,9778,A-,Wisconsin,2014,44943,0.0510884852278309,0.222,0.467,1.257,0.198,2014
KeyCorp,9783,BBB+,Ohio,2014,42755,0.0510981237125841,0.104,0.886,4.72,0.019,2014
Sonoco Products Co,9815,BBB+,South Carolina,2014,37624,0.0398003199673606,0.251,0.565,1.698,0.239,2014
South Jersey Industries Inc.,9831,BBB+,New Jersey,2014,58670,0.0615335057433986,0.371,0.714,7.166,0.076,2014
